Adw.AboutDialog	widget	Adw
Adw.AboutDialogClass	record	Adw
Adw.AboutWindow	widget	Adw
Adw.AboutWindowClass	record	Adw
Adw.AccentColor	enum	Adw
Adw.ActionRow	widget	Adw
Adw.ActionRowClass	record	Adw
Adw.AlertDialog	widget	Adw
Adw.AlertDialogClass	record	Adw
Adw.Animation	class	Adw
Adw.AnimationClass	record	Adw
Adw.AnimationState	enum	Adw
Adw.AnimationTarget	class	Adw
Adw.AnimationTargetClass	record	Adw
Adw.Application	class	Adw
Adw.ApplicationClass	record	Adw
Adw.ApplicationWindow	widget	Adw
Adw.ApplicationWindowClass	record	Adw
Adw.Avatar	widget	Adw
Adw.AvatarClass	record	Adw
Adw.Banner	widget	Adw
Adw.BannerButtonStyle	enum	Adw
Adw.BannerClass	record	Adw
Adw.Bin	widget	Adw
Adw.BinClass	record	Adw
Adw.BottomSheet	widget	Adw
Adw.BottomSheetClass	record	Adw
Adw.Breakpoint	class	Adw
Adw.BreakpointBin	widget	Adw
Adw.BreakpointBinClass	record	Adw
Adw.BreakpointClass	record	Adw
Adw.BreakpointCondition	record	Adw
Adw.BreakpointConditionLengthType	enum	Adw
Adw.BreakpointConditionRatioType	enum	Adw
Adw.ButtonContent	widget	Adw
Adw.ButtonContentClass	record	Adw
Adw.ButtonRow	widget	Adw
Adw.ButtonRowClass	record	Adw
Adw.CallbackAnimationTarget	class	Adw
Adw.CallbackAnimationTargetClass	record	Adw
Adw.Carousel	widget	Adw
Adw.CarouselClass	record	Adw
Adw.CarouselIndicatorDots	widget	Adw
Adw.CarouselIndicatorDotsClass	record	Adw
Adw.CarouselIndicatorLines	widget	Adw
Adw.CarouselIndicatorLinesClass	record	Adw
Adw.CenteringPolicy	enum	Adw
Adw.Clamp	widget	Adw
Adw.ClampClass	record	Adw
Adw.ClampLayout	class	Adw
Adw.ClampLayoutClass	record	Adw
Adw.ClampScrollable	widget	Adw
Adw.ClampScrollableClass	record	Adw
Adw.ColorScheme	enum	Adw
Adw.ComboRow	widget	Adw
Adw.ComboRowClass	record	Adw
Adw.Dialog	widget	Adw
Adw.DialogClass	record	Adw
Adw.DialogPresentationMode	enum	Adw
Adw.Easing	enum	Adw
Adw.EntryRow	widget	Adw
Adw.EntryRowClass	record	Adw
Adw.EnumListItem	class	Adw
Adw.EnumListItemClass	record	Adw
Adw.EnumListModel	class	Adw
Adw.EnumListModelClass	record	Adw
Adw.ExpanderRow	widget	Adw
Adw.ExpanderRowClass	record	Adw
Adw.Flap	widget	Adw
Adw.FlapClass	record	Adw
Adw.FlapFoldPolicy	enum	Adw
Adw.FlapTransitionType	enum	Adw
Adw.FoldThresholdPolicy	enum	Adw
Adw.HeaderBar	widget	Adw
Adw.HeaderBarClass	record	Adw
Adw.InlineViewSwitcher	widget	Adw
Adw.InlineViewSwitcherClass	record	Adw
Adw.InlineViewSwitcherDisplayMode	enum	Adw
Adw.JustifyMode	enum	Adw
Adw.Layout	class	Adw
Adw.LayoutClass	record	Adw
Adw.LayoutSlot	widget	Adw
Adw.LayoutSlotClass	record	Adw
Adw.Leaflet	widget	Adw
Adw.LeafletClass	record	Adw
Adw.LeafletPage	class	Adw
Adw.LeafletPageClass	record	Adw
Adw.LeafletTransitionType	enum	Adw
Adw.LengthUnit	enum	Adw
Adw.MessageDialog	widget	Adw
Adw.MessageDialogClass	record	Adw
Adw.MultiLayoutView	widget	Adw
Adw.MultiLayoutViewClass	record	Adw
Adw.NavigationDirection	enum	Adw
Adw.NavigationPage	widget	Adw
Adw.NavigationPageClass	record	Adw
Adw.NavigationSplitView	widget	Adw
Adw.NavigationSplitViewClass	record	Adw
Adw.NavigationView	widget	Adw
Adw.NavigationViewClass	record	Adw
Adw.NoneAnimationTarget	class	Adw
Adw.NoneAnimationTargetClass	record	Adw
Adw.OverlaySplitView	widget	Adw
Adw.OverlaySplitViewClass	record	Adw
Adw.PackDirection	enum	Adw
Adw.PasswordEntryRow	widget	Adw
Adw.PasswordEntryRowClass	record	Adw
Adw.PreferencesDialog	widget	Adw
Adw.PreferencesDialogClass	record	Adw
Adw.PreferencesGroup	widget	Adw
Adw.PreferencesGroupClass	record	Adw
Adw.PreferencesPage	widget	Adw
Adw.PreferencesPageClass	record	Adw
Adw.PreferencesRow	widget	Adw
Adw.PreferencesRowClass	record	Adw
Adw.PreferencesWindow	widget	Adw
Adw.PreferencesWindowClass	record	Adw
Adw.PropertyAnimationTarget	class	Adw
Adw.PropertyAnimationTargetClass	record	Adw
Adw.ResponseAppearance	enum	Adw
Adw.ShortcutLabel	widget	Adw
Adw.ShortcutLabelClass	record	Adw
Adw.ShortcutsDialog	widget	Adw
Adw.ShortcutsDialogClass	record	Adw
Adw.ShortcutsItem	class	Adw
Adw.ShortcutsItemClass	record	Adw
Adw.ShortcutsSection	class	Adw
Adw.ShortcutsSectionClass	record	Adw
Adw.Sidebar	widget	Adw
Adw.SidebarClass	record	Adw
Adw.SidebarItem	class	Adw
Adw.SidebarItemClass	record	Adw
Adw.SidebarMode	enum	Adw
Adw.SidebarSection	class	Adw
Adw.SidebarSectionClass	record	Adw
Adw.SpinRow	widget	Adw
Adw.SpinRowClass	record	Adw
Adw.Spinner	widget	Adw
Adw.SpinnerClass	record	Adw
Adw.SpinnerPaintable	class	Adw
Adw.SpinnerPaintableClass	record	Adw
Adw.SplitButton	widget	Adw
Adw.SplitButtonClass	record	Adw
Adw.SpringAnimation	class	Adw
Adw.SpringAnimationClass	record	Adw
Adw.SpringParams	record	Adw
Adw.Squeezer	widget	Adw
Adw.SqueezerClass	record	Adw
Adw.SqueezerPage	class	Adw
Adw.SqueezerPageClass	record	Adw
Adw.SqueezerTransitionType	enum	Adw
Adw.StatusPage	widget	Adw
Adw.StatusPageClass	record	Adw
Adw.StyleManager	class	Adw
Adw.StyleManagerClass	record	Adw
Adw.SwipeTracker	class	Adw
Adw.SwipeTrackerClass	record	Adw
Adw.Swipeable	iface	Adw
Adw.SwipeableInterface	record	Adw
Adw.SwitchRow	widget	Adw
Adw.SwitchRowClass	record	Adw
Adw.TabBar	widget	Adw
Adw.TabBarClass	record	Adw
Adw.TabButton	widget	Adw
Adw.TabButtonClass	record	Adw
Adw.TabOverview	widget	Adw
Adw.TabOverviewClass	record	Adw
Adw.TabPage	class	Adw
Adw.TabPageClass	record	Adw
Adw.TabView	widget	Adw
Adw.TabViewClass	record	Adw
